Day,Outlook,Temp,Humidity,Wind,PlayTennis,
D1,sunny,hot,high,weak,No,
D2,sunny,hot,high,strong,No,
D3,overcast,hot,high,weak,Yes,
D4,rain,mild,high,weak,Yes,
D5,rain,cold,normal,weak,Yes,
D6,rain,cold,normal,strong,No,
D7,overcast,cold,normal,strong,Yes,
D8,sunny,mild,high,weak,No,
D9,sunny,cold,normal,weak,Yes,
D10,rain,mild,normal,weak,Yes,
D11,sunny,mild,normal,strong,Yes,
D12,overcast,mild,high,strong,Yes,
D13,overcast,hot,normal,weak,Yes,
D14,rain,mild,high,strong,No,
D15,sunny,hot,normal,weak,No,
